key,name
602029,Ofloxacin Ophthalmic
602030,Bimatoprost Ophthalmic
603001,Dutasteride
603002,Epinephrine Injection
603003,Epirubicin
603004,Eplerenone
603005,Escitalopram
603006,Olmesartan
603007,Quinupristin and Dalfopristin Injection
603008,Zonisamide
603009,Azelastine Ophthalmic
603010,Adalimumab Injection
603012,Aripiprazole
603013,Atomoxetine
603014,Dexmethylphenidate
603015,Ezetimibe
603016,Glatiramer Injection
603017,Nitazoxanide
603018,Teriparatide Injection
603019,Atazanavir
603020,Azelaic Acid Topical
603021,Clindamycin and Benzoyl Peroxide Topical
603022,Dihydroergotamine Injection
603023,Enfuvirtide Injection
603024,Erythromycin and Benzoyl Peroxide Topical
603025,Levalbuterol Oral Inhalation
603026,Lidocaine Transdermal Patch
603027,Pimecrolimus Topical
603028,Almotriptan
603029,Eletriptan
603030,Mefloquine
603031,Omalizumab Injection
603032,Polyethylene Glycol 3350
603033,Rosuvastatin
603034,Testosterone Buccal
603035,Vardenafil
604001,Adapalene
604002,Alfuzosin
604003,Aprepitant
604004,Emtricitabine
604005,Interferon Beta-1a Subcutaneous Injection
604006,Memantine
604007,Tegaserod
604008,Tadalafil
604009,Cyclosporine Ophthalmic
604011,Epinastine Ophthalmic
604012,Fosamprenavir
604013,Frovatriptan
604014,Gemifloxacin
604015,Miglustat
604016,Oxybutynin Transdermal Patch
604017,Progesterone
604018,Tiotropium Oral Inhalation
604019,"Neomycin, Polymyxin, and Bacitracin Ophthalmic"
604020,Apomorphine Injection
604021,Ciclopirox Topical
604022,Darbepoetin Alfa Injection
604023,Infliximab Injection
604024,Oxandrolone
604025,Protriptyline
604026,Telithromycin
604027,Rifaximin
604028,Acamprosate
604029,Cyanocobalamin Nasal Gel
604030,Duloxetine
604031,Eflornithine
604032,Estrogen and Progestin (Vaginal Ring Contraceptives)
604033,Ketotifen Ophthalmic
604034,Norethindrone
604035,Pancrelipase
604036,Tinidazole
604037,Trospium
604038,Vancomycin
604039,Medroxyprogesterone Injection
605001,Bosentan
605002,Buprenorphine Sublingual and Buccal (opioid dependence)
605003,Cefditoren
605004,Cinacalcet
605005,Ciprofloxacin Ophthalmic
605006,Natalizumab Injection
605007,Cyanocobalamin Injection
605008,Erlotinib
605009,Eszopiclone
605010,Fluorouracil Topical
605011,Ganciclovir
605012,Gatifloxacin Ophthalmic
605013,Insulin Aspart (rDNA Origin) Injection
605014,Ketoconazole Topical
605015,Lanthanum
605016,Moxifloxacin Ophthalmic
605017,Palifermin
605018,Ribavirin
605019,Solifenacin
605020,Testosterone Topical
605021,Valganciclovir
605022,Voriconazole
605023,Zoledronic Acid Injection
605024,Adefovir
605025,Desonide Topical
605026,Desoximetasone Topical
605027,Dextroamphetamine
605028,Entecavir
605029,Peginterferon Alfa-2a Injection
605030,Peginterferon Alfa-2b (PEG-Intron)
605031,Pramlintide Injection
605032,Sodium Oxybate
605033,Diazepam Rectal
605034,Exenatide Injection
605035,Ibandronate
605036,Isocarboxazid
605038,Ramelteon
605039,Darifenacin
605040,Doxepin Topical
605041,Estradiol Topical
605042,Estradiol Transdermal Patch
605043,Fentanyl
605045,Pregabalin
605046,Zolmitriptan Nasal Spray
606001,Acyclovir Topical
606002,Deferasirox
606003,Diclofenac Ophthalmic
606004,Estrogen Injection
606005,Estrogen Vaginal
606006,Morphine Rectal
606007,Nepafenac Ophthalmic
606008,Phenylephrine
606009,Tipranavir
606010,Barium Sulfate
606011,Felbamate
606012,Insulin Detemir (rDNA Origin) Injection
606014,Methylphenidate Transdermal Patch
606015,Ranolazine
606016,Abatacept Injection
606017,Rasagiline
606018,Imatinib
606019,Nicotine Lozenges
606020,Nicotine Nasal Spray
606021,Nicotine Oral Inhalation
606022,Ondansetron Injection
606023,Sitagliptin
606024,Varenicline
607001,Bevacizumab Injection
607002,Gefitinib
607003,Selegiline Transdermal Patch
607004,Albuterol
607005,Paliperidone
607006,Exemestane
607007,Bortezomib Injection
607008,Ciclesonide Nasal Spray
607009,Ciprofloxacin and Hydrocortisone Otic
607010,Ciprofloxacin and Dexamethasone Otic
607011,Ofloxacin Otic
607012,Clofarabine Injection
607013,Anthrax Vaccine
607014,Hepatitis B Vaccine
607015,Haemophilus influenzae type b (Hib) Vaccine
607017,"Influenza Vaccine, Inactivated or Recombinant"
607018,"Influenza Vaccine, Live Intranasal"
607019,Japanese Encephalitis Vaccine
