ml_name,db_name,ml_key
Nicardipine,Nicardipine,695032
Amoxapine,Amoxapine,682202
Atorvastatin,Atorvastatin,600045
Paltusotine,Paltusotine,625106
Pyrazinamide,Pyrazinamide,682402
Amiodarone,Amiodarone,687009
Escitalopram,Escitalopram,603005
Alpelisib,Alpelisib,619036
Zidovudine,Zidovudine,687007
Sunitinib,Sunitinib,607052
Pantoprazole,Pantoprazole,601246
Vericiguat,Vericiguat,621014
Secnidazole,Secnidazole,617052
Minocycline,Minocycline,682101
Cefditoren,Cefditoren,605003
Atenolol,Atenolol,684031
Oxiconazole,Oxiconazole,689004
Floxuridine,Floxuridine,682006
Primaquine,Primaquine,607037
Levomilnacipran,Levomilnacipran,613048
Moexipril,Moexipril,695018
Candesartan,Candesartan,601033
Secobarbital,Secobarbital,682386
Isotretinoin,Isotretinoin,681043
Givinostat,Givinostat,624025
Vorasidenib,Vorasidenib,624055
Sevabertinib,Sevabertinib,626007
Perphenazine,Perphenazine,682165
Zoliflodacin,Zoliflodacin,626017
Phendimetrazine,Phendimetrazine,626013
Dutasteride,Dutasteride,603001
Fidaxomicin,Fidaxomicin,611040
Abiraterone,Abiraterone,611046
Megestrol,Megestrol,682003
Fenoprofen,Fenoprofen,681026
Lansoprazole,Lansoprazole,695020
Bedaquiline,Bedaquiline,613022
Dabigatran,Dabigatran,610024
Ropinirole,Ropinirole,698013
Indapamide,Indapamide,684062
Aprocitentan,Aprocitentan,624023
Avacopan,Avacopan,622023
Mitapivat,Mitapivat,622018
Trospium,Trospium,604037
Diethylpropion,Diethylpropion,682037
Lazertinib,Lazertinib,624058
Nintedanib,Nintedanib,615009
Procainamide,Procainamide,682398
Acitretin,Acitretin,601010
Pyridoxine,Pyridoxine,682587
Cefpodoxime,Cefpodoxime,698024
Terbutaline,Terbutaline,682144
Miglitol,Miglitol,601079
Modafinil,Modafinil,602016
Tiagabine,Tiagabine,698014
Clobazam,Clobazam,612008
Ethosuximide,Ethosuximide,682327
Fedratinib,Fedratinib,619058
Venlafaxine,Venlafaxine,694020
Crizotinib,Crizotinib,612018
Acebutolol,Acebutolol,687003
Vorapaxar,Vorapaxar,614044
Mitotane,Mitotane,608050
Telbivudine,Telbivudine,607045
Dronabinol,Dronabinol,607054
Tolnaftate,Tolnaftate,682617
Lesinurad,Lesinurad,616015
Ribociclib,Ribociclib,617008
Fosinopril,Fosinopril,692020
Quinidine,Quinidine,682396
Nitazoxanide,Nitazoxanide,603017
Temsirolimus,Temsirolimus,607071
Misoprostol,Misoprostol,689009
Oxymorphone,Oxymorphone,610022
Fluvastatin,Fluvastatin,694010
Probenecid,Probenecid,682395
Hyoscyamine,Hyoscyamine,684010
Vorinostat,Vorinostat,607050
Selenium Sulfide,Selenium Sulfide,682258
Ertugliflozin,Ertugliflozin,618011
Anastrozole,Anastrozole,696018
Istradefylline,Istradefylline,619053
Meprobamate,Meprobamate,682077
Rabeprazole,Rabeprazole,699060
Amlexanox,Amlexanox,601017
Phentermine,Phentermine,682187
Rolapitant,Rolapitant,615041
Selegiline,Selegiline,697046
Eluxadoline,Eluxadoline,615054
Elagolix,Elagolix,618044
Lisdexamfetamine,Lisdexamfetamine,607047
Vemurafenib,Vemurafenib,612009
Saxagliptin,Saxagliptin,610003
Diphenoxylate,Diphenoxylate,601045
Prednisone,Prednisone,601102
Eltrombopag,Eltrombopag,609011
Azithromycin,Azithromycin,697037
Vismodegib,Vismodegib,612010
Etrasimod,Etrasimod,623050
Vibegron,Vibegron,621015
Ranolazine,Ranolazine,606015
Olanzapine,Olanzapine,601213
Delavirdine,Delavirdine,600034
Papaverine,Papaverine,682707
Pramipexole,Pramipexole,697029
Potassium,Potassium,601099
Fostamatinib,Fostamatinib,618025
Acalabrutinib,Acalabrutinib,618004
Cilostazol,Cilostazol,601038
Enzalutamide,Enzalutamide,612033
Vimseltinib,Vimseltinib,625067
Praziquantel,Praziquantel,608048
Oxybutynin,Oxybutynin,682141
Chlorpropamide,Chlorpropamide,682479
Dextromethorphan,Dextromethorphan,682492
Cobicistat,Cobicistat,616029
Larotrectinib,Larotrectinib,619006
Trazodone,Trazodone,681038
Dolutegravir,Dolutegravir,613043
Fenofibrate,Fenofibrate,601052
Selumetinib,Selumetinib,620030
Triamcinolone,Triamcinolone,601122
Belumosudil,Belumosudil,621043
Mirabegron,Mirabegron,612038
Simvastatin,Simvastatin,692030
Olodaterol,Olodaterol Oral Inhalation,615019
Natalizumab,Natalizumab Injection,605006
Vedolizumab,Vedolizumab Injection,614034
Butoconazole,Butoconazole Vaginal Cream,682012
Brodalumab,Brodalumab Injection,617009
Liraglutide,Liraglutide Injection,611003
Ketamine,Ketamine Injection,626003
Evolocumab,Evolocumab Injection,615043
Perfluorohexyloctane,Perfluorohexyloctane ophthalmic,623054
Rotigotine,Rotigotine Transdermal Patch,607059
Guselkumab,Guselkumab Injection,617036
Teriparatide,Teriparatide Injection,603018
Glofitamab,Glofitamab-gxbm,623046
Zenocutuzumab,Zenocutuzumab-zbco Injection,625011
Secukinumab,Secukinumab Injection,615011
Icatibant,Icatibant injection,623036
Chloramphenicol,Chloramphenicol Injection,608008
Thiotepa,Thiotepa Injection,682821
Brimonidine,Brimonidine Ophthalmic,601232
Ustekinumab,Ustekinumab Injection,611013
Tazarotene,Tazarotene Topical,616052
Landiolol,Landiolol Injection,625060
Oxaliplatin,Oxaliplatin Injection,607035
Etranacogene dezaparvovec,Etranacogene dezaparvovec-drlb Injection,623001
